HS Code,Description,SU,ID,VAT,LVY,EXC,DOV
0210990000,Edible flours and meals of meat or meat offal of animals not specified in 02.10.,KG,20,,,,14/04/2020
0301110000,Live Freshwater ornamental fish,KG,10,7.5,,,14/04/2020
0301190000,Live ornamental fish other than freshwater fish,KG,10,7.5,,,14/04/2020
0301911000,Live young trout fish (fish fingerlings),KG,5,,,,14/04/2020
0301919000,Live trout fish other than fingerlings.,KG,10,,,,14/04/2020
0301921000,Live young Eels fish (fish fingerlings),KG,5,,,,14/04/2020
0301929000,Live Eels fish other than fingerlings,KG,10,,,,14/04/2020
0301931000,Live young carp fish (fish fingerlings),KG,5,,,,14/04/2020
0301939000,Live carp fish other than fingerlings,KG,10,,,,14/04/2020
0301941000,Live young Atlantic and Pacific bluefin tunas (Thunnus thynnus Thunnus orientalis),KG,5,,,,14/04/2020
0301949000,Matured Atlantic and Pacific bluefin tunas (Thunnus thynnus Thunnus orientalis),KG,10,,,,14/04/2020
0301951000,Live young southern bluefin tunas (Thunnus maccoyii) fish (fish fingerlings),KG,5,,,,14/04/2020
0301959000,Live southern bluefin tunas (Thunnus maccoyii) fish other than fingerlings.,KG,10,,,,14/04/2020
0301991000,Other live young fish (fish fingerlings) not specified in this heading.,KG,5,,,,14/04/2020
0301999000,Other live fish other than fingerlings not specified in this heading.,KG,10,,,,14/04/2020
0302110000,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus aguabonita etc)",KG,10,,,,14/04/2020
0302130000,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha etc)",KG,10,,,,14/04/2020
0302140000,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) meat, fresh or chilled.",KG,10,,,,14/04/2020
0302190000,Other Salmonidae meat excluding livers and roes not specied in this subheading,KG,10,,,,14/04/2020
0302210000,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus etc",KG,10,,,,14/04/2020
0302220000,"Plaice(Pleuronectes platessa) meat, fresh or chilled.",KG,10,,,,14/04/2020
0302230000,"Sole (Solea spp.)meat, fresh or chilled.",KG,10,,,,14/04/2020
0302240000,"Turbots (Psetta maxima)meat, fresh or chilled.",KG,10,,,,14/04/2020
0302290000,"Other Flat fish meat, fresh or chilled.",KG,10,,,,14/04/2020
0302310000,"Albacore or longfinned tunas (Thunnus alalunga)meat, fresh or chilled.",KG,10,,,,14/04/2020
0302320000,"Yellowfin tunas (Thunnus albacares)meat, fresh or chilled.",KG,10,,,,14/04/2020
0302330000,"Skipjack or stripebellied bonito meat, fresh or chilled.",KG,10,,,,14/04/2020
0302340000,"Bigeye tunas (Thunnus obesus)meat, fresh or chilled.",KG,10,,,,14/04/2020
0302350000,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",KG,10,,,,14/04/2020
0302360000,"Southern bluefin tunas (Thunnus maccoyii)meat, fresh or chilled.",KG,10,,,,14/04/2020
0302390000,"Other Tunas meat not specified in this heading, fresh or chilled.",KG,10,,,,14/04/2020
0302410000,"Herrings (Clupea harengus, Clupea pallasii) meat, fresh or chilled.",KG,10,,,,14/04/2020
0302420000,"Anchovies (Engraulis spp.)meat, fresh or chilled.",KG,10,,,,14/04/2020
0302430000,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella, brisling or sprats.",KG,10,,,,14/04/2020
0302440000,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",KG,10,,,,14/04/2020
0302450000,"Jack and horse mackerel (Trachurus spp.) meat, fresh or chilled.",KG,10,,,,14/04/2020
0302460000,"Cobia (Rachycentron canadum) meat, fresh or chilled.",KG,10,,,,14/04/2020
0302470000,"Swordfish (Xiphias gladius) meat, fresh or chilled.",KG,10,,,,14/04/2020
0302490000,"Other fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304",KG,10,,,,14/04/2020
0302510000,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) fresh or chilled.",KG,10,,,,14/04/2020
0302520000,"Haddock (Melanogrammus aeglefinus) meat, fresh or chilled.",KG,10,,,,14/04/2020
0302530000,"Coalfish (Pollachius virens) meat, fresh or chilled.",KG,10,,,,14/04/2020
0302540000,"Hake (Merluccius spp., Urophycis spp.) meat, fresh or chilled.",KG,10,,,,14/04/2020
0302550000,"Alaska Pollack (Theragra chalcogramma)meat, fresh or chilled.",KG,10,,,,14/04/2020
0302560000,"Blue whitings (Micromesistius poutassou, Micromesistiusaustralis",KG,10,,,,14/04/2020
0302590000,"Other Cod meat, fresh or chilled.",KG,10,,,,14/04/2020
0302710000,"Tilapias (Oreochromis spp.) meat, fresh or chilled.",KG,10,,,,14/04/2020
0302720000,"Catfish (Pangasius spp., Silurus spp., Clarias spp.,Ictalurus spp.)",KG,10,,,,14/04/2020
0302730000,"Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus etc)",KG,10,,,,14/04/2020
0302740000,"Eels (Anguilla spp.) meat, fresh or chilled.",KG,10,,,,14/04/2020
0302790000,"Other tilapias meat not specified in this heading, fresh or chilled.",KG,10,,,,14/04/2020
0302810000,"Dogfish and other sharks meat, fresh or chilled.",KG,10,,,,14/04/2020
0302820000,"Rays and skates (Rajidae)meat, fresh or chilled.",KG,10,,,,14/04/2020
0302830000,"Toothfish (Dissostichus spp.)meat, fresh or chilled.",KG,10,,,,14/04/2020
0302840000,"Seabass (Dicentrarchus spp.) meat, fresh or chilled.",KG,10,,,,14/04/2020
0302850000,"Seabream (Sparidae) meat, fresh or chilled.",KG,10,,,,14/04/2020
0302890000,"Other meat not specified in 03.02, fresh or chilled.",KG,10,,,,14/04/2020
0302910000,"Livers, roes and milt",KG,10,,,,14/04/2020
0302920000,Shark fins,KG,10,,,,14/04/2020
0302990000,"Other Livers, roes, milt, fish fins, heads, tails, maws and other edible
fish offal",KG,10,,,,14/04/2020
0303110000,"Sockeye salmon (red salmon) (Oncorhynchus nerka) meat, frozen.",KG,10,,,,14/04/2020
0303120000,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta etc)",KG,10,,,,14/04/2020
0303130000,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) meat, frozen.",KG,10,,,,14/04/2020
0303140000,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki etc)",KG,10,,,,14/04/2020
0303190000,"Other Salmonidae meat excluding livers and roes not specified in this heading, frozen.",KG,10,,,,14/04/2020
0303230000,"Tilapias (Oreochromis spp.) meat, frozen.",KG,10,,,,14/04/2020
0303240000,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.) meat, frozen.",KG,10,,,,14/04/2020
0303250000,"Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, frozen",KG,10,,,,14/04/2020
0303260000,"Eels (Anguilla spp.) meat, frozen.",KG,10,,,,14/04/2020
0303290000,"Other tilapias meat not specified in this heading, frozen.",KG,10,,,,14/04/2020
0303310000,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus etc",KG,10,,,,14/04/2020
0303320000,"Plaice (Pleuronectes platessa) meat, frozen.",KG,10,,,,14/04/2020
0303330000,"Sole (Solea spp.)meat, frozen.",KG,10,,,,14/04/2020
0303340000,"Turbots (Psetta maxima) meat, frozen.",KG,10,,,,14/04/2020
0303390000,"Other Eels meat not specified in this heading, frozen.",KG,10,,,,14/04/2020
0303410000,"Albacore or longfinned tunas (Thunnus alalunga) meat, frozen.",KG,10,,,,14/04/2020
0303420000,"Yellowfin tunas (Thunnus albacares) meat, frozen.",KG,10,,,,14/04/2020
0303430000,"Skipjack or stripbellied bonito meat, frozen.",KG,10,,,,14/04/2020
0303440000,"Bigeye tunas (Thunnus obesus) meat, frozen.",KG,10,,,,14/04/2020
0303450000,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis) meat, frozen.",KG,10,,,,14/04/2020
0303460000,"Southern bluefin tunas (Thunnus maccoyii) meat, frozen.",KG,10,,,,14/04/2020
0303490000,"Other Tunas meat not specified in this heading, frozen.",KG,10,,,,14/04/2020
0303510000,"Herrings (Clupea harengus, Clupea pallasii) meat, frozen.",KG,10,,,,14/04/2020
0303530000,"Sardines, sardinella, brisling or sprats.",KG,10,,,,14/04/2020
0303540000,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) meat, frozen.",KG,10,,,,14/04/2020
0303550000,"Jack and horse mackerel (Trachurus spp.) meat, frozen.",KG,10,,,,14/04/2020
0303560000,"Cobia (Rachycentron canadum) meat, frozen.",KG,10,,,,14/04/2020
0303570000,"Swordfish (Xiphias gladius) meat, frozen.",KG,10,,,,14/04/2020
0303590000,"Other herrings, etc excl edible fish offal of subheadings 0303.91 to 0303.99",KG,10,,,,14/04/2020
0303630000,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), frozen.",KG,10,,,,14/04/2020
0303640000,"Haddock (Melanogrammus aeglefinus) meat, frozen.",KG,10,,,,14/04/2020
0303650000,"Coalfish (Pollachius virens) meat, frozen.",KG,10,,,,14/04/2020
0303660000,"Hake (Merluccius spp., Urophycis spp.) meat, frozen.",KG,10,,,,14/04/2020
0303670000,"Alaska Pollack (Theragra chalcogramma) meat, frozen.",KG,10,,,,14/04/2020
0303680000,"Blue whitings (Micromesistius poutassou, Micromesistius australis) meat, frozen.",KG,10,,,,14/04/2020
0303690000,Other Fish of the families not mentioned in this subheadng.,KG,10,,,,14/04/2020
0303810000,"Dogfish and other sharks meat, frozen.",KG,10,,,,14/04/2020
0303820000,"Rays and skates (Rajidae) meat, frozen.",KG,10,,,,14/04/2020
0303830000,"Toothfish (Dissostichus spp.) meat, frozen.",KG,10,,,,14/04/2020
0303840000,"Seabass (Dicentrarchus spp.) meat, frozen.",KG,10,,,,14/04/2020
0303890000,"Other Fish, frozen, excluding fish fillets and other not mentioned in this subheading.",KG,10,,,,14/04/2020
0303910000,"Livers, roes and milt",KG,20,,,,14/04/2020
0303920000,--  Shark fins,KG,20,,,,21/01/2023
0303990000,"Other (fish fins, heads, tails, maws and other edible fish offals)",KG,20,,,,14/04/2020
0304310000,"Tilapias (Oreochromis spp.) fillets (whether or not minced), fresh or chilled.",KG,20,,,,14/04/2020
0304320000,"Catfish (Pangasius spp., Silurus spp., Clarias spp.,.. fresh or chilled.",KG,20,,,,14/04/2020
0304330000,"Nile Perch (Lates niloticus), fresh or chilled.",KG,20,,,,14/04/2020
0304390000,Fresh or chilled fillets of heading 03.04 not specified or mentioned,KG,20,,,,14/04/2020
0304410000,"Fresh or chilled fillets of Pacific salmon, Atlantic salmon and Danube salmon",KG,20,,,,14/04/2020
0304420000,Fresh or chilled fillets Trout,KG,20,,,,14/04/2020
0304430000,Fresh or chilled fillets of Flat fish,KG,20,,,,14/04/2020
0304440000,"Fresh or chilled fillets of Fish of the families Bregmacerotidae, Euclichthyidae",KG,20,,,,14/04/2020
0304450000,Fresh or chilled fillets of Swordfish (Xiphias gladius),KG,20,,,,14/04/2020
0304460000,Fresh or chilled fillets of Toothfish (Dissostichus spp.),KG,20,,,,14/04/2020
0304470000,Dogfish and other sharks,KG,20,,,,14/04/2020
0304480000,Rays and skates (Rajidae),KG,20,,,,14/04/2020
0304490000,Other Fresh or chilled fillets not specified in this heading.,KG,20,,,,14/04/2020
0304510000,"Fresh or chilled Tilapias, catfish, carp, eels, Nile perch and snakeheads",KG,20,,,,14/04/2020
0304520000,Fresh or chilled Salmonidae,KG,20,,,,14/04/2020
0304530000,"Fresh or chilled Fish of of the families Bregmacerotidae, Euclichthyidae, Gadidae",KG,20,,,,14/04/2020
0304540000,Fresh or chilled Swordfish (Xiphias gladius),KG,20,,,,14/04/2020
0304550000,Fresh or chilled Toothfish (Dissostichus spp.),KG,20,,,,14/04/2020
0304560000,Dogfish and other sharks,KG,20,,,,14/04/2020
0304570000,Rays and skates (Rajidae),KG,20,,,,14/04/2020
0304590000,Other Fresh or chilled not specified in this subheading,KG,20,,,,14/04/2020
0304610000,Frozen fillets of Tilapias (Oreochromis spp.),KG,20,,,,14/04/2020
0304620000,"Frozen fillets of Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",KG,20,,,,14/04/2020
0304630000,Frozen fillets of Nile Perch (Lates niloticus),KG,20,,,,14/04/2020
0304690000,"Frozen fillets of carp, eels, Nile perch and snakeheads",KG,20,,,,14/04/2020
0304710000,"Frozen fillets of Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",KG,20,,,,14/04/2020
0304720000,Frozen fillets of Haddock (Melanogrammus aeglefinus),KG,20,,,,14/04/2020
0304730000,Frozen fillets of Coalfish (Pollachius virens),KG,20,,,,14/04/2020
0304740000,"Frozen fillets of Hake (Merluccius spp., Urophycis spp.)",KG,20,,,,14/04/2020
0304750000,Frozen fillets of Alaska Pollack (Theragra chalcogramma),KG,20,,,,14/04/2020
0304790000,"Other Frozen fillets of fish of the families Bregmacerotidae, Bregmacerotidae",KG,20,,,,14/04/2020
0304810000,"Frozen fillets of Pacific salmon, Atlantic salmon and Danube salmon.",KG,20,,,,14/04/2020
0304820000,Frozen fillets of Trout,KG,20,,,,14/04/2020
0304830000,Frozen fillets Flat fish,KG,20,,,,14/04/2020
0304840000,Frozen fillets of Swordfish (Xiphias gladius),KG,20,,,,14/04/2020
0304850000,Frozen fillets of Toothfish (Dissostichus spp.),KG,20,,,,14/04/2020
0304860000,"Frozen fillets of Herrings (Clupea harengus, Clupea pallasii)",KG,20,,,,14/04/2020
0304870000,"Frozen fillets Tunas, skipjack or stripebellied bonito, pelamis",KG,20,,,,14/04/2020
0304880000,"Dogfish, other sharks, rays and skates (Rajidae)",KG,20,,,,14/04/2020
0304890000,Other Frozen fillets of fish not specified in this subheading,KG,20,,,,14/04/2020
0304910000,Frozen Swordfish (Xiphias gladius),KG,20,,,,14/04/2020
0304920000,Frozen Toothfish (Dissostichus spp.),KG,20,,,,14/04/2020
0304930000,"Frozen Tilapias, catfish, carp, Nile perch and snakeheads.",KG,20,,,,14/04/2020
0304940000,Frozen Alaska Pollack (Theragra chalcogramma),KG,20,,,,14/04/2020
0304950000,"Frozen Fish of the families Bregmacerotidae,...",KG,20,,,,14/04/2020
0304960000,Dogfish and other sharks,KG,20,,,,14/04/2020
0304970000,Rays and skates (Rajidae),KG,20,,,,14/04/2020
0304990000,Other Frozen fish not specified in 03.04.,KG,20,,,,14/04/2020
0305200000,"Livers and roes of fish, dried, smoked, salted or in brine",KG,20,,,,14/04/2020
0305310000,"Fish fillets of Tilapias, catfish, ..; dried, salted or in brine, but not smoked ",KG,20,,,,14/04/2020
0305320000,"Fish fillets of Fish of the families Bregma.....dried, salted, brine, but not smoked ",KG,20,,,,14/04/2020
0305390000,"Other fish, dried, salted or in brine, not elsewhere mentioned.",KG,20,,,,14/04/2020
0305410000,"Smokedfish, including fillet of Pacific, Atlantic... salmon other than edible fish offal",KG,20,,,,14/04/2020
0305420000,"Smoked fish, including fillets of Herrings other than edible fish offal",KG,20,,,,14/04/2020
0305430000,"Smoked fish, including fillets of Trout, other than edible fish offal",KG,20,,,,14/04/2020
0305440000,"Smoked fish, including fillets of Tilapias, catfish, carpother than edible fish offal",KG,20,,,,14/04/2020
0305490000,"Other Smoked fish, including fillets other than edible offals not elsewhere specified.",KG,20,,,,14/04/2020
0305510000,"Dried Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",KG,20,,,,14/04/2020
0305520000,"Tilapias, catfish, carp, eels, Nile perch and snakeheads",KG,20,,,,14/04/2020
0305530000,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macouridae, Melanonida",KG,20,,,,14/04/2020
0305540000,"Herrings, anchovies, sardines, sardinella, brisling or sprats, mackerel ...",KG,20,,,,14/04/2020
0305590000,"Other Dried fish, other than edible fish offal, whether or not salted but not smoked :",KG,20,,,,01/04/2022
0305610000,"Herring ssalted but not dried or smoked and fish in brine, other than edible fish offal:",KG,20,,,,14/04/2020
0305620000,"Cod salted but not dried or smoked and fish in brine, other than edible fish offal",KG,20,,,,14/04/2020
0305630000,"Anchovies (Engraulis spp.), salted but not dried or smoked and fish in brine.",KG,20,,,,14/04/2020
0305640000,"Tilapias, catfish, carp, eels, Nile perch and snakeheads.",KG,20,,,,14/04/2020
0305690000,"fish, salted but not dried, smoked, brined, other than edible fish offal not mentioned",KG,20,,,,14/04/2020
0305710000,Shark fins,KG,20,,,,14/04/2020
0305721000,Cod head,KG,20,,,,14/04/2020
0305729000,"Other Fish heads, tails and maws other than cod head.",KG,20,,,,14/04/2020
0305790000,"Other Fish fins, heads, tails, maws and other edible fish offal not elsewhere mentioned",KG,20,,,,14/04/2020
0306110000,"Frozen Rock lobster and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.)",KG,20,,,,14/04/2020
0306120000,Frozen Lobsters (Homarus spp.),KG,20,,,,14/04/2020
0306140000,Frozen Crabs,KG,20,,,,14/04/2020
0306150000,Frozen Norway lobsters (Nephrops norvegicus),KG,20,,,,14/04/2020
0306160000,"Frozen Coldwater shrimps and prawns (Pandalus spp., Crangon crangon)",KG,20,,,,14/04/2020
0306170000,Other Frozen shrimps and prawns,KG,20,,,,14/04/2020
0306190000,-- Other,KG,20,,,,04/01/2022
0306310000,"Rock lobster and other sea crawfish (Palinurus spp., Panulirus
spp., Jasus spp.)",KG,20,,,,14/04/2020
0306320000,Lobsters (Homarus spp.),KG,20,,,,14/04/2020
0306330000,Crabs,KG,20,,,,14/04/2020
0306340000,Norway lobsters (Nephrops norvegicus),KG,20,,,,14/04/2020
0306350000,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon)",KG,20,,,,14/04/2020
0306360000,Other shrimps and prawns,KG,20,,,,14/04/2020
0306390000,-- Other,KG,20,0,0,,04/01/2022
0306910000,"Rock lobster and other sea crawfish (Palinurus spp, Panulirus   spp, Jasus spp)",KG,20,,,,14/04/2020
0306920000,Lobsters (Homarus spp),KG,20,,,,14/04/2020
0306930000,Crabs,KG,20,,,,14/04/2020
0306940000,Norway lobsters (Nephrops norvegicus),KG,20,,,,14/04/2020
0306950000,Shrimps and prawns,KG,20,,,,14/04/2020
0306990000,--  Other,KG,20,0,0,,05/01/2022
0307110000,"Live, fresh or chilled Oysters",KG,20,,,,14/04/2020
0307120000,Frozen,KG,20,,,,14/04/2020
0307190000,"Other: dried, salted or in brine Oysters",KG,20,,,,14/04/2020
0307210000,"Live, fresh or chilled Scallops, and queen scallops, of the genera Pecten.",KG,20,,,,14/04/2020
0307220000,"Frozen Scallops, including queen scallops, of the genera Pecten, Chlamys
or Placopecten",KG,20,,,,14/04/2020
0307290000,"Other: dried, salted or in brine Scallops, and queen scallops, of the genera Pecten.",KG,20,,,,14/04/2020
0307310000,"Live, fresh or chilled Mussels (Mytilus spp., Perna spp.)",KG,20,,,,14/04/2020
0307320000,"Frozen Mussels (Mytilus spp., Perna spp.)",KG,20,,,,14/04/2020
0307390000,"Other: dried, salted or in brine Mussels (Mytilus spp., Perna spp.)",KG,20,,,,14/04/2020
